1.65E+12,2,,,,
1.65E+12,TRUE,3,24537,Credit Card,home
1.65E+12,FALSE,3,46518,Credit Card,home
1.65E+12,TRUE,2,29029,Credit Card,home
1.65E+12,FALSE,3,19953,Credit Card,home
1.65E+12,FALSE,3,20194,Credit Card,home
1.65E+12,TRUE,1,5255,Credit Card,home
1.65E+12,TRUE,1,4010,Credit Card,home
1.65E+12,TRUE,2,12390,Credit Card,desk
1.65E+12,FALSE,3,21317,Credit Card,desk
1.65E+12,TRUE,1,4185,Credit Card,home
1.65E+12,TRUE,1,4739,Credit Card,home
1.65E+12,TRUE,1,5842,Credit Card,home
1.65E+12,TRUE,1,4574,Credit Card,home
1.65E+12,FALSE,3,26032,Credit Card,home
1.65E+12,TRUE,1,4312,Credit Card,home
1.65E+12,TRUE,2,10645,Credit Card,home
1.65E+12,TRUE,2,9474,Credit Card,home
1.65E+12,TRUE,1,11154,Credit Card,home
1.65E+12,TRUE,1,5326,Credit Card,work
1.65E+12,TRUE,1,5065,Credit Card,work
1.65E+12,TRUE,1,5505,Credit Card,lecture 
1.65E+12,TRUE,1,3845,Credit Card,lecture 
1.65E+12,TRUE,1,5969,Credit Card,desk
1.65E+12,TRUE,1,3285,Credit Card,home
1.65E+12,TRUE,1,3017,Credit Card,home
1.65E+12,TRUE,1,3169,Credit Card,home 
1.65E+12,TRUE,1,4473,Credit Card,desk
1.65E+12,TRUE,1,3010,Credit Card,home
1.65E+12,TRUE,2,8865,Credit Card,home
1.65E+12,TRUE,2,6183,Credit Card,home
1.65E+12,TRUE,2,5782,Credit Card,home
1.65E+12,TRUE,2,10169,Credit Card,home
1.65E+12,TRUE,2,8247,Credit Card,home
1.65E+12,TRUE,1,8005,Credit Card,hone
1.65E+12,TRUE,1,4478,Credit Card,home 
1.65E+12,FALSE,3,20143,Credit Card,home 
1.65E+12,TRUE,3,11348,Credit Card,home
1.65E+12,TRUE,1,4245,Credit Card,home
1.65E+12,TRUE,2,5306,Credit Card,home 
1.65E+12,TRUE,1,3527,Credit Card,home
1.65E+12,TRUE,1,3727,Credit Card,home
1.65E+12,TRUE,1,3229,Credit Card,home
1.65E+12,TRUE,1,4981,Credit Card,home
1.65E+12,TRUE,3,9762,Credit Card,home
1.65E+12,TRUE,2,6426,Credit Card,home 
1.65E+12,TRUE,1,3493,Credit Card,home
1.65E+12,TRUE,2,5931,Credit Card,home
1.65E+12,TRUE,1,3168,Credit Card,home
1.65E+12,TRUE,2,6683,Credit Card,home
1.65E+12,TRUE,2,6617,Credit Card,home
